文件名或ID,label
0aSixIFj9X73z41LMDUQ6ZykwnBA5YJW - 副本.jpg,"{'x1': 215, 'x2': 430, 'y1': 107, 'y2': 322}"
0aSixIFj9X73z41LMDUQ6ZykwnBA5YJW.jpg,"{'x1': 229, 'x2': 405, 'y1': 109, 'y2': 288}"
0bBWRPd2t4NDIaO8567oyTgK3MU9rJZS - 副本.jpg,"{'x1': 186, 'x2': 421, 'y1': 43, 'y2': 189}"
0bBWRPd2t4NDIaO8567oyTgK3MU9rJZS.jpg,"{'x1': 248, 'x2': 409, 'y1': 46, 'y2': 182}"
0bpPevGiKaR4JUFlThw7y5BQLr6jDnuA - 副本.jpg,"{'x1': 44, 'x2': 213, 'y1': 47, 'y2': 197}"
0bpPevGiKaR4JUFlThw7y5BQLr6jDnuA.jpg,"{'x1': 66, 'x2': 191, 'y1': 70, 'y2': 206}"
0IWfLUGk53iHt9SElNzKsBCDwuMjpPbR - 副本.jpg,"{'x1': 142, 'x2': 397, 'y1': 65, 'y2': 253}"
0IWfLUGk53iHt9SElNzKsBCDwuMjpPbR.jpg,"{'x1': 193, 'x2': 401, 'y1': 69, 'y2': 293}"
0iYHbBF5vXlG7u3DC6p9mc2j1xItRWZS - 副本.jpg,"{'x1': 158, 'x2': 375, 'y1': 57, 'y2': 245}"
0iYHbBF5vXlG7u3DC6p9mc2j1xItRWZS.jpg,"{'x1': 190, 'x2': 354, 'y1': 93, 'y2': 225}"
0MmqxPHoRXWz7GKcFljYfnsI6OtUg5Vh - 副本.jpg,"{'x1': 137, 'x2': 377, 'y1': 107, 'y2': 379}"
0MmqxPHoRXWz7GKcFljYfnsI6OtUg5Vh.jpg,"{'x1': 143, 'x2': 430, 'y1': 83, 'y2': 414}"
